timestamp_ms,raw_w_g,filt_w_g,raw_flow_w_gps,filt_flow_w_gps,drops_p_cycle,raw_dps,filt_dps,raw_flow_d_gps,filt_flow_d_gps,wpd_g_drip,wpd_cal_active,wpd_long_cal_active,rem_weight_drip_g,fused_flow_gps,fused_rem_weight_g,rem_t_raw_w_s,rem_t_filt_w_s,rem_t_raw_d_s,rem_t_filt_d_s,rem_t_fused_s,drip_total_drops,drip_initial_weight,wpd_cumulative
32609.0,509.63,509.86,0.1731,0.1549,1.0,1.79,1.97,0.0894,0.0983,0.05,0.0,0.0,511.73,0.1174,511.17,2540.0,2840.0,4939.0,4493.0,3757.0,55.0,514.48,0.08412
33609.0,509.4,509.67,0.2223,0.1559,2.0,1.8,1.96,0.0898,0.0982,0.05,0.0,0.0,511.63,0.1183,511.05,1977.0,2821.0,4920.0,4499.0,3729.0,57.0,514.48,0.08439
34609.0,509.18,509.49,0.2276,0.157,2.0,1.8,1.96,0.0898,0.098,0.05,0.0,0.0,511.53,0.1191,510.92,1930.0,2800.0,4919.0,4505.0,3703.0,59.0,514.48,0.08471
35609.0,508.97,509.3,0.2075,0.158,2.0,1.8,1.96,0.0898,0.0979,0.05,0.0,0.0,511.43,0.1198,510.79,2116.0,2780.0,4918.0,4510.0,3679.0,61.0,514.48,0.08504
36609.0,508.74,509.1,0.2288,0.1592,2.0,1.79,1.95,0.0896,0.0977,0.05,0.0,0.0,511.33,0.1206,510.66,1917.0,2759.0,4925.0,4517.0,3655.0,63.0,514.48,0.0854
37609.0,508.56,508.91,0.1761,0.1602,1.0,1.79,1.95,0.0896,0.0976,0.05,0.0,0.0,511.28,0.1213,510.54,2491.0,2740.0,4925.0,4523.0,3633.0,64.0,514.48,0.08707
38609.0,508.27,508.71,0.2916,0.1614,2.0,1.79,1.95,0.0895,0.0974,0.05,0.0,0.0,511.18,0.122,510.41,1503.0,2718.0,4928.0,4530.0,3611.0,66.0,514.48,0.08746
39609.0,508.1,508.51,0.1755,0.1625,2.0,1.79,1.94,0.0894,0.0972,0.05,0.0,0.0,511.08,0.1226,510.28,2497.0,2699.0,4936.0,4536.0,3590.0,68.0,514.48,0.08781
40609.0,507.89,508.31,0.2116,0.1636,2.0,1.79,1.94,0.0893,0.0971,0.05,0.0,0.0,510.98,0.1233,510.15,2069.0,2680.0,4939.0,4543.0,3570.0,70.0,514.48,0.08815
41609.0,507.71,508.12,0.1713,0.1645,2.0,1.79,1.94,0.0893,0.0969,0.05,0.0,0.0,510.88,0.1239,510.02,2556.0,2663.0,4938.0,4550.0,3550.0,72.0,514.48,0.08844
42609.0,507.48,507.92,0.2371,0.1655,1.0,1.79,1.93,0.0893,0.0967,0.05,0.0,0.0,510.83,0.1246,509.89,1845.0,2646.0,4937.0,4557.0,3532.0,73.0,514.48,0.08998
43609.0,507.21,507.71,0.2662,0.1666,2.0,1.78,1.93,0.0892,0.0966,0.05,0.0,0.0,510.73,0.1252,509.76,1643.0,2627.0,4941.0,4563.0,3514.0,75.0,514.48,0.09032
44609.0,506.93,507.5,0.2792,0.1678,2.0,1.78,1.93,0.0891,0.0964,0.05,0.0,0.0,510.63,0.1258,509.63,1565.0,2608.0,4944.0,4569.0,3496.0,77.0,514.48,0.09071
45609.0,506.67,507.29,0.2614,0.169,2.0,1.78,1.93,0.0892,0.0963,0.05,0.0,0.0,510.53,0.1263,509.5,1670.0,2588.0,4938.0,4575.0,3479.0,79.0,514.48,0.09114
46609.0,506.45,507.07,0.2241,0.1702,1.0,1.78,1.92,0.0891,0.0961,0.05,0.0,0.0,510.48,0.1269,509.37,1948.0,2568.0,4942.0,4581.0,3462.0,80.0,514.48,0.09269
47609.0,506.26,506.86,0.1844,0.1712,2.0,1.78,1.92,0.0892,0.096,0.05,0.0,0.0,510.38,0.1275,509.24,2366.0,2551.0,4937.0,4587.0,3445.0,82.0,514.48,0.09304
48609.0,506.07,506.64,0.1956,0.1723,2.0,1.78,1.92,0.0892,0.0959,0.05,0.0,0.0,510.28,0.1281,509.11,2229.0,2535.0,4936.0,4592.0,3429.0,84.0,514.48,0.09335
49609.0,505.88,506.43,0.1843,0.1732,2.0,1.78,1.92,0.089,0.0958,0.05,0.0,0.0,510.18,0.1286,508.97,2365.0,2520.0,4943.0,4597.0,3413.0,86.0,514.48,0.09363
50609.0,505.69,506.22,0.1885,0.174,2.0,1.78,1.91,0.0889,0.0956,0.05,0.0,0.0,510.08,0.1291,508.84,2312.0,2507.0,4951.0,4603.0,3398.0,88.0,514.48,0.09388
51609.0,505.46,506.01,0.2389,0.1749,1.0,1.77,1.91,0.0887,0.0955,0.05,0.0,0.0,510.03,0.1297,508.71,1823.0,2493.0,4964.0,4610.0,3384.0,89.0,514.48,0.0952
52609.0,505.26,505.8,0.1968,0.1757,2.0,1.78,1.91,0.0889,0.0953,0.05,0.0,0.0,509.93,0.1302,508.58,2211.0,2481.0,4949.0,4615.0,3370.0,91.0,514.48,0.09543
53609.0,505.0,505.59,0.2549,0.1765,2.0,1.78,1.9,0.089,0.0952,0.05,0.0,0.0,509.83,0.1306,508.44,1707.0,2468.0,4944.0,4620.0,3356.0,93.0,514.48,0.09567
54609.0,504.71,505.37,0.2946,0.1774,2.0,1.79,1.9,0.0893,0.0951,0.05,0.0,0.0,509.73,0.1311,508.31,1476.0,2454.0,4925.0,4623.0,3343.0,95.0,514.48,0.09596
55609.0,504.47,505.15,0.2341,0.1783,1.0,1.79,1.9,0.0896,0.095,0.05,0.0,0.0,509.68,0.1316,508.18,1856.0,2440.0,4907.0,4626.0,3330.0,96.0,514.48,0.09724
56609.0,504.23,504.93,0.2407,0.1792,2.0,1.79,1.9,0.0897,0.095,0.05,0.0,0.0,509.58,0.1321,508.04,1804.0,2427.0,4901.0,4628.0,3317.0,98.0,514.48,0.09751
57609.0,504.03,504.71,0.2021,0.1801,2.0,1.79,1.9,0.0896,0.0949,0.05,0.0,0.0,509.48,0.1325,507.91,2147.0,2414.0,4905.0,4630.0,3304.0,100.0,514.48,0.09776
58609.0,503.9,504.49,0.1345,0.1808,2.0,1.79,1.9,0.0896,0.0949,0.05,0.0,0.0,509.38,0.133,507.77,3225.0,2403.0,4904.0,4632.0,3292.0,102.0,514.48,0.09796
59609.0,503.71,504.28,0.1826,0.1814,2.0,1.79,1.9,0.0894,0.0948,0.05,0.0,0.0,509.28,0.1334,507.64,2376.0,2394.0,4916.0,4635.0,3280.0,104.0,514.48,0.09813
60609.0,503.57,504.07,0.144,0.182,1.0,1.79,1.89,0.0893,0.0947,0.05,0.0,0.0,509.23,0.1338,507.51,3010.0,2385.0,4919.0,4638.0,3269.0,105.0,514.48,0.09919
61609.0,503.41,503.86,0.1636,0.1825,2.0,1.78,1.89,0.0891,0.0946,0.05,0.0,0.0,509.13,0.1342,507.37,2649.0,2377.0,4927.0,4642.0,3258.0,107.0,514.48,0.09928
62609.0,503.28,503.66,0.1292,0.1829,2.0,1.78,1.89,0.0891,0.0945,0.05,0.0,0.0,509.03,0.1346,507.24,3353.0,2371.0,4926.0,4645.0,3248.0,109.0,514.48,0.09932
63609.0,503.18,503.46,0.0931,0.1832,2.0,1.78,1.89,0.089,0.0944,0.05,0.0,0.0,508.93,0.135,507.11,4654.0,2366.0,4929.0,4648.0,3238.0,111.0,514.48,0.09932
64609.0,503.08,503.27,0.1061,0.1834,2.0,1.78,1.89,0.0889,0.0943,0.05,0.0,0.0,508.83,0.1353,506.97,4083.0,2363.0,4937.0,4652.0,3229.0,113.0,514.48,0.09927
65609.0,502.95,503.08,0.1251,0.1835,1.0,1.78,1.89,0.0891,0.0943,0.05,0.0,0.0,508.78,0.1356,506.84,3460.0,2360.0,4923.0,4655.0,3221.0,114.0,514.48,0.10006
66609.0,502.88,502.89,0.0699,0.1835,2.0,1.78,1.88,0.089,0.0942,0.05,0.0,0.0,508.68,0.1359,506.71,6189.0,2359.0,4931.0,4658.0,3214.0,116.0,514.48,0.09992
67609.0,502.79,502.71,0.0972,0.1834,2.0,1.78,1.88,0.0889,0.0941,0.05,0.0,0.0,508.58,0.1361,506.58,4454.0,2359.0,4934.0,4661.0,3207.0,118.0,514.48,0.09975
68609.0,502.72,502.54,0.0688,0.1833,2.0,1.78,1.88,0.0889,0.094,0.05,0.0,0.0,508.48,0.1364,506.45,6291.0,2360.0,4933.0,4664.0,3201.0,120.0,514.48,0.09955
69609.0,502.6,502.37,0.1203,0.1831,1.0,1.78,1.88,0.0888,0.0939,0.05,0.0,0.0,508.43,0.1365,506.33,3596.0,2362.0,4937.0,4668.0,3196.0,121.0,514.48,0.10014
70609.0,502.47,502.2,0.1233,0.1828,2.0,1.78,1.88,0.089,0.0938,0.05,0.0,0.0,508.33,0.1367,506.2,3508.0,2364.0,4927.0,4671.0,3191.0,123.0,514.48,0.09989
71609.0,502.38,502.03,0.0907,0.1826,2.0,1.78,1.88,0.0889,0.0938,0.05,0.0,0.0,508.23,0.1368,506.08,4767.0,2367.0,4930.0,4674.0,3187.0,125.0,514.48,0.09962
